design,resolution,depth,case,lambda,parent_n,observed_n,train_n,validation_n,region_D,parent_membership,membership_status,iterations,score,stopped,tail_feasible,invisible_initial,invisible_final,true_invisible,observed_law_TV,reference_RMSE,selected_oracle_RMSE,min_raw_ell_gain,Shat_0,Strue_0,Shat_1,Strue_1,Shat_2,Strue_2
coarse_d2,coarse,2,lambda2_N1600_r007,3/4,1600,976,504,472,624,True,included,42,7.400933694669697e-09,True,True,0.1111111111111111,0.11111111111111113,0.296875,0.017981989325799155,0.15050110979016426,0.27728816813507245,0.0,0.47136499299981083,0.5888671875,0.36157774582795266,0.501708984375,0.11111111111111113,0.296875
coarse_d2,coarse,2,lambda2_N1600_r008,3/4,1600,1023,517,506,577,True,included,45,8.911431679471802e-09,True,True,0.1111111111111111,0.11111111111111115,0.296875,0.028411274748917713,0.14216415711689157,0.26794491158648187,-2.2737367544323206e-13,0.4861369168377031,0.5888671875,0.3769283297013028,0.501708984375,0.11111111111111115,0.296875
coarse_d2,coarse,2,lambda2_N1600_r009,3/4,1600,1036,519,517,564,True,included,38,8.77845954143444e-09,True,True,0.1111111111111111,0.11111111111111098,0.296875,0.01332650769869036,0.14611988255529837,0.2662387694995693,-2.2737367544323206e-13,0.47860847476254514,0.5888671875,0.36984597180408046,0.501708984375,0.11111111111111098,0.296875
coarse_d2,coarse,2,lambda2_N1600_r010,3/4,1600,1018,506,512,582,True,included,40,8.08805374213982e-09,True,True,0.1111111111111111,0.11111111111111124,0.296875,0.03396335299706159,0.14679019305274854,0.2652669526230227,-2.2737367544323206e-13,0.48328778412945583,0.5888671875,0.36391620699466676,0.501708984375,0.11111111111111124,0.296875
coarse_d2,coarse,2,lambda2_N1600_r011,3/4,1600,986,484,502,614,True,included,45,8.582731546879803e-09,True,True,0.1111111111111111,0.11111111111111098,0.296875,0.03257031735214413,0.13793956867360224,0.2594740139481276,0.0,0.4952627605952295,0.5888671875,0.3841846776708792,0.501708984375,0.11111111111111098,0.296875
coarse_d2,coarse,2,lambda2_N1600_r012,3/4,1600,997,513,484,603,True,included,35,9.574208534861552e-09,True,True,0.1111111111111111,0.11111111111111102,0.296875,0.028739186661294172,0.15190366161861785,0.2745616380986102,0.0,0.4672382800082636,0.5888671875,0.3605624162740583,0.501708984375,0.11111111111111102,0.296875
coarse_d2,coarse,2,lambda2_N1600_r013,3/4,1600,1003,481,522,597,True,included,44,8.345474417651944e-09,True,True,0.1111111111111111,0.11111111111111117,0.296875,0.022320989673582314,0.14747073582525053,0.27015267874047244,-2.2737367544323206e-13,0.4765418342434641,0.5888671875,0.367107177644208,0.501708984375,0.11111111111111117,0.296875
coarse_d2,coarse,2,lambda2_N1600_r014,3/4,1600,1017,503,514,583,True,included,40,6.967686307744737e-09,True,True,0.1111111111111111,0.11111111111111115,0.296875,0.02718205009770849,0.15168958379117167,0.27207531026826703,0.0,0.4741538663436954,0.5888671875,0.3555521472910519,0.501708984375,0.11111111111111115,0.296875
coarse_d2,coarse,2,lambda2_N1600_r015,3/4,1600,991,495,496,609,True,included,46,9.403687888696718e-09,True,True,0.1111111111111111,0.1111111111111115,0.296875,0.03710551285722224,0.1349210800929864,0.25417435603389044,2.2737367544323206e-13,0.5091562710602275,0.5888671875,0.38445267987250237,0.501708984375,0.1111111111111115,0.296875
coarse_d2,coarse,2,lambda2_N1600_r016,3/4,1600,1031,515,516,569,True,included,35,8.532321223085302e-09,True,True,0.1111111111111111,0.11111111111111116,0.296875,0.0331074431880714,0.15172219274705578,0.2698871607769859,0.0,0.4700716883576636,0.5888671875,0.35874647780658553,0.501708984375,0.11111111111111116,0.296875
