A,B,C,D,EM_global_optimality,EM_invisible_mass,EM_iterations,EM_positive_score,EM_stop_tolerance_met,EM_tail_class_final,Shat_0,Shat_1,Shat_2,Strue_0,Strue_1,Strue_2,case,coverage_decision,full_parent_empirical_RMSE,lambda,max_mass_sum_error,observed_law_TV,parent_n,raw_min_ell_increment,reference_survival_RMSE,rep,selected_oracle_RMSE,status,train_n,true_in_confidence_set,true_invisible_mass,validation_n
49,130,116,105,not_certified,0.11111111111111079,35,9.377662964051508e-09,True,True,0.5178846842502618,0.4000626574821524,0.11111111111111079,0.5361328125,0.435791015625,0.203125,lambda0_N400_r011,included,0.017681856295170207,-3/4,6.661338147750939e-16,0.05282700126719779,400,0.0,0.057954193143261355,11,0.17393693000606897,computed,150,True,0.203125,145
56,119,114,111,not_certified,0.11111111111111131,41,9.909112355722176e-09,True,True,0.449698177196048,0.3466631099509183,0.11111111111111131,0.5361328125,0.435791015625,0.203125,lambda0_N400_r012,included,0.024156032941269907,-3/4,6.661338147750939e-16,0.04029369436995133,400,5.684341886080802e-14,0.08922123345637693,12,0.2109678481605839,computed,139,True,0.203125,150
39,119,125,117,not_certified,0.11111111111111137,47,7.578611057911412e-09,True,True,0.5159835969220895,0.3915707859606087,0.11111111111111137,0.5361328125,0.435791015625,0.203125,lambda0_N400_r013,included,0.012548795192888072,-3/4,6.661338147750939e-16,0.05342379389279016,400,5.684341886080802e-14,0.06007765904347852,13,0.1838631651802197,computed,143,True,0.203125,140
55,122,105,118,not_certified,0.11111111111111106,40,9.009397470771359e-09,True,True,0.4748095075701986,0.34381092856239825,0.11111111111111106,0.5361328125,0.435791015625,0.203125,lambda0_N400_r014,included,0.0075703038496736375,-3/4,3.3306690738754696e-16,0.05817871848816024,400,-5.684341886080802e-14,0.08304103381664996,14,0.20622695820425838,computed,142,True,0.203125,140
46,114,111,129,not_certified,0.11111111111111102,41,8.632232359012528e-09,True,True,0.44790945430653123,0.3520867223910676,0.11111111111111102,0.5361328125,0.435791015625,0.203125,lambda0_N400_r015,included,0.00540979487455085,-3/4,4.440892098500626e-16,0.04448199889947707,400,0.0,0.08804605875181096,15,0.21485595146220968,computed,135,True,0.203125,136
53,119,105,123,not_certified,0.11111111111111115,36,6.55513658275989e-09,True,True,0.47693878517793387,0.3653072180807639,0.11111111111111115,0.5361328125,0.435791015625,0.203125,lambda0_N400_r016,included,0.01436712629876681,-3/4,6.661338147750939e-16,0.04776805635883366,400,-5.684341886080802e-14,0.07514087732457206,16,0.21178903610486546,computed,136,True,0.203125,141
70,111,127,92,not_certified,0.11111111111111129,47,9.376598037696177e-09,True,True,0.5046420993994721,0.38389730652324855,0.11111111111111129,0.5361328125,0.435791015625,0.203125,lambda0_N400_r017,included,0.022294378620735703,-3/4,8.881784197001252e-16,0.0698334802586193,400,0.0,0.0636426948004082,17,0.18889964015009458,computed,155,True,0.203125,153
45,106,125,124,not_certified,0.11111111111111102,46,8.293195721136357e-09,True,True,0.46748388360950405,0.35515462069256376,0.11111111111111102,0.5361328125,0.435791015625,0.203125,lambda0_N400_r018,included,0.008767742152898704,-3/4,5.551115123125783e-16,0.06295854785936435,400,-1.1368683772161603e-13,0.08099682992555739,18,0.21187511669398942,computed,131,True,0.203125,145
38,131,112,119,not_certified,0.11111111111111116,28,7.079517277667309e-09,True,True,0.45017069685307753,0.34405205760775176,0.11111111111111116,0.5361328125,0.435791015625,0.203125,lambda0_N400_r019,included,0.019241854211623798,-3/4,2.220446049250313e-16,0.09402048261918493,400,5.684341886080802e-14,0.08994827679105752,19,0.21999666864999204,computed,134,True,0.203125,147
230,466,441,463,not_certified,0.11111111111111086,35,6.820280970887301e-09,True,True,0.44599739955400375,0.34285758008826234,0.11111111111111086,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r000,included,0.01931066928651232,-3/4,8.881784197001252e-16,0.04337273694325593,1600,0.0,0.09170163912759517,0,0.22114058085964527,computed,556,True,0.203125,581
